q,a
Постоянный член Международного эпизоотического бюро (1931-63).,Постоянный член Международного эпизоотического бюро (тысяча девятьсот тридцать первый-шестьдесят третий).
Костёл в стиле позднего барокко был построен в 1742-1763 годах .,Костёл в стиле позднего барокко был построен в тысяча семьсот сорок втором по тысяча семьсот шестьдесят третьем годах .
"Ранее, в 2004—2015 годах, действовала шестизначная цифровая система.","Ранее, в две тысячи четвёртом по две тысячи пятнадцатый годах, действовала шестизначная цифровая система."
Тёплый период (с положительной среднесуточной температурой) длится 220—225 дней.,Тёплый период (с положительной среднесуточной температурой) длится от двухсот двадцати до двухсот двадцати пяти дней.
"На подъездном пути завода «АЗТПА» расположен пост «Ока», имеющий 4 пути (200—300 м), к которому примыкает подъездной путь завода ЖБИ.","На подъездном пути завода «АЗТПА» расположен пост «Ока», имеющий четыре пути (от двухсот до трехсот м), к которому примыкает подъездной путь завода ЖБИ."
"Ежедневный выход автобусов на городские маршруты составлял 35—39 единиц, перевозилось около 30 тыс. пассажиров.","Ежедневный выход автобусов на городские маршруты составлял от тридцати пяти до тридцати девяти единиц, перевозилось около тридцати тысяч пассажиров."
Расход горючего: 24—32 литра в зависимости от режима эксплуатации.,Расход горючего: от двадцати четырёх до тридцати двух литра в зависимости от режима эксплуатации.
В 1889—1898 избирался послом (депутатом) Государственного Совета Австрии в Вене.,В тысячи восьмисот восьмидесяти девяти до тысячи восьмисот девяноста восьми избирался послом (депутатом) Государственного Совета Австрии в Вене.
В 1894—1898 — член Галицкого сейма во Львове.,В тысячи восьмисот девяноста четырёх до тысячи восьмисот девяноста восьми — член Галицкого сейма во Львове.
"Работал профессором римского права во Львовском университете, в 1928—1929 — ректором университета.","Работал профессором римского права во Львовском университете, в тысячи девятисот двадцати восьми до тысячи девятисот двадцати девяти — ректором университета."
"В 2021 году на Играх исламской солидарности в Конье азербайджанские гандболисты на групповом этапе проиграли Турции (19:29) и Ирану (20:42), а в стыковом матче за 5-6-е места получили техническую победу над сборной Марокко (10:0).","В 2021 году на Играх исламской солидарности в Конье азербайджанские гандболисты на групповом этапе проиграли Турции (19:29) и Ирану (двадцать:42), а в стыковом матче за от пяти до шести-е места получили техническую победу над сборной Марокко (десять:0)."
"В 1943—1945 годах было выпущено 49 бронетранспортёров этого типа, однако в бою они не применялись.","В тысяча девятьсот сорок третьем по тысяча девятьсот сорок пятый годах было выпущено сорок девять бронетранспортёров этого типа, однако в бою они не применялись."
"Ширина реки в верхнем течении около 20—30 метров, в нижнем 50—60 метров.","Ширина реки в верхнем течении около двадцати-тридцати метров, в нижнем от пятидесяти до шестидесяти метров."
В 1633-1642 годах — фактический руководитель русского правительства.,В тысяча шестьсот тридцать третьем по тысяча шестьсот сорок втором годах — фактический руководитель русского правительства.
Построен в 2011—2013 годах по «Программе строительства 200 храмов в Москве».,Построен в две тысячи одиннадцатом по две тысячи тринадцатый годах по «Программе строительства двухсот храмов в Москве».
"Годовое количество атмосферных осадков составляет 560—720 мм, из которых большая часть выпадает в тёплый период.","Годовое количество атмосферных осадков составляет от пятисот шестидесяти до семисот двадцати мм, из которых большая часть выпадает в тёплый период."
Снежный покров держится в течение 140—150 дней.,Снежный покров держится в течение от ста сорока до ста пятидесяти дней.
"Можер (умер в 1055 году), архиепископ Руана в 1037—1055 годах.","Можер (умер в 1055 году), архиепископ Руана в тысяча тридцать седьмом по тысяча пятьдесят пятом годах."
"Затем учился на естественном отделении физико-математического факультета Московского университета (1891—1895), окончив его с дипломом 1-й степени.","Затем учился на естественном отделении физико-математического факультета Московского университета (тысяча восемьсот девяносто первый—тысяча восемьсот девяносто пятый), окончив его с дипломом первой степени."
"В 1934—1935 годах директором института был Заурбек Мальсагов, в 1957—1958 годах директором института — Дошлуко Мальсагов, а 1958—1971 годах — Абдулхалим Саламов.","В тысяча девятьсот тридцать четвёртом по тысяча девятьсот тридцать пятый годах директором института был Заурбек Мальсагов, в тысяча девятьсот пятьдесят седьмом по тысяча девятьсот пятьдесят восьмой годах директором института — Дошлуко Мальсагов, а от тысячи девятисот пятидесяти восьми до тысячи девятисот семидесяти одного годах — Абдулхалим Саламов."
Числится в списках непривилегированных городов Литвы 1529—1567 годов.,Числится в списках непривилегированных городов Литвы с тысяча пятьсот двадцать девятого по тысяча пятьсот шестьдесят седьмой годов.
"В 1570—1740 годах здесь действовала духовная семинария, затем переведённая в Варняй.","В тысяча пятьсот семидесятом по тысяча семьсот сороковой годах здесь действовала духовная семинария, затем переведённая в Варняй."
В 1926—1929 годах училась в Ленинграде в архитектурном техникуме.,В тысяча девятьсот двадцать шестом по тысяча девятьсот двадцать девятый годах училась в Ленинграде в архитектурном техникуме.
В 1936—1938 годах работала научным сотрудником Академии архитектуры СССР.,В тысяча девятьсот тридцать шестом по тысяча девятьсот тридцать восьмой годах работала научным сотрудником Академии архитектуры СССР.
В 1950—1953 годах работала в 5-й мастерской «Моспроекта» на должности главного архитектора проекта.,В тысяча девятьсот пятидесятом по тысяча девятьсот пятьдесят третьем годах работала в 5-й мастерской «Моспроекта» на должности главного архитектора проекта.
В 1951—1954 годах была членом правления Московского отделения Союза архитекторов.,В тысяча девятьсот пятьдесят первом по тысяча девятьсот пятьдесят четвёртый годах была членом правления Московского отделения Союза архитекторов.
Муж — Григорий Алексеевич Захаров (1910—1982) — архитектор,Муж — Григорий Алексеевич Захаров (тысяча девятьсот десятый—тысяча девятьсот восемьдесят второй) — архитектор
Медаль «За доблестный труд в Великой Отечественной войне 1941—1945 гг.»,Медаль «За доблестный труд в Великой Отечественной войне с тысяча девятьсот сорок первого по тысяча девятьсот сорок пятый гг.»
"Татьяна Семёновна Лизогуб (1743—1835) — дочь бунчукового товарища Семёна Лизогуба, жена А. Д. Гоголь-Яновского, мать В. А. Гоголь-Яновского и бабушка Н. В. Гоголя.","Татьяна Семёновна Лизогуб (тысяча семьсот сорок третий—тысяча восемьсот тридцать пятый) — дочь бунчукового товарища Семёна Лизогуба, жена А. Д. Гоголь-Яновского, мать В. А. Гоголь-Яновского и бабушка Н. В. Гоголя."
"В 1843—1845 выпустил семь тетрадей, составивших литографированный альбом «Достопамятности Москвы», который был отпечатан в типографии А. И. Семена.","В тысячи восьмисот сорока трёх до тысячи восьмисот сорока пяти выпустил семь тетрадей, составивших литографированный альбом «Достопамятности Москвы», который был отпечатан в типографии А. И. Семена."
1793—1867) — шлезвиг-голштинский военный деятель; генерал.,от тысячи семисот девяноста трёх до тысячи восьмисот шестидесяти семи) — шлезвиг-голштинский военный деятель; генерал.
"Во время Датско-прусской войны (1848—1850) поступил на службу в шлезвиг-голштинскую армию, где вскоре своей отвагой обратил на себя внимание.","Во время Датско-прусской войны (тысяча восемьсот сорок восьмой—тысяча восемьсот пятидесятый) поступил на службу в шлезвиг-голштинскую армию, где вскоре своей отвагой обратил на себя внимание."
Осадков выпадает 200—255 мм в год.,Осадков выпадает от двухсот до двухсот пятидесяти пяти мм в год.
"В 1888–1889 годах, после открытия Самаро-Златоустовской железной дороги в Уфе, построена Сафроновская железнодорожная товарная ветка к пристани.","В тысяча восемьсот восемьдесят восьмом по тысяча восемьсот восемьдесят девятый годах, после открытия Самаро-Златоустовской железной дороги в Уфе, построена Сафроновская железнодорожная товарная ветка к пристани."
Низкоамплитудные (20—30 мкВ) колебания этого диапазона могут регистрироваться в ЭЭГ покоя при некоторых формах стресса и длительной умственной работе.,Низкоамплитудные (от двадцати до тридцати мкВ) колебания этого диапазона могут регистрироваться в ЭЭГ покоя при некоторых формах стресса и длительной умственной работе.
"В 1907—1908 учебном году она сдала экзамены за четвертый, в 1908—1909 учебном году — за пятый курс.","В тысяча девятьсот седьмом по тысяча девятьсот восьмой учебном году она сдала экзамены за четвертый, в тысячи девятисот восьми до тысячи девятисот девяти учебном году — за пятый курс."
"В годы Великой Отечественной войны (1941—1945) врач Р. Кутлубаева работала в госпиталях города Уфы, проводила большую противоэпидемическую работу, продолжала обслуживать население.","В годы Великой Отечественной войны (тысяча девятьсот сорок первый—тысяча девятьсот сорок пятый) врач Р. Кутлубаева работала в госпиталях города Уфы, проводила большую противоэпидемическую работу, продолжала обслуживать население."
"Ханисламов, Галямутдин Хуснутдинович (1873—1942) — мусульманский религиозный деятель, журналист.","Ханисламов, Галямутдин Хуснутдинович (тысяча восемьсот семьдесят третий—тысяча девятьсот сорок второй) — мусульманский религиозный деятель, журналист."
В 1886—1887 годах путешествовала по Европе.,В тысяча восемьсот восемьдесят шестом по тысяча восемьсот восемьдесят седьмой годах путешествовала по Европе.
В 1890 году вышла замуж за Чарльза Хэллоуэлла Стивенса (1855—1931).,В тысяча восемьсот девяностом году вышла замуж за Чарльза Хэллоуэлла Стивенса (тысяча восемьсот пятьдесят пятый—тысяча девятьсот тридцать первый).
"У них был сын, Даниель Оуэн Стивенс (1894—1937), который также стал художником.","У них был сын, Даниель Оуэн Стивенс (тысяча восемьсот девяносто четвёртый—тысяча девятьсот тридцать седьмой), который также стал художником."
"Осталось несколько сотен гражданских в расчете на быстрый переход фронта, который, правда, состоялся только через 2-3 недели.","Осталось несколько сотен гражданских в расчете на быстрый переход фронта, который, правда, состоялся только через от двух до трех недели."
С помощью денег родного дяди Степана Никольского в 1894—1896 годах брал уроки рисования у выпускника Петербургской Академии художеств П. А. Власова.,С помощью денег родного дяди Степана Никольского в тысяча восемьсот девяносто четвёртом по тысяча восемьсот девяносто шестой годах брал уроки рисования у выпускника Петербургской Академии художеств П. А. Власова.
В 1905—1907 годах работал карикатуристом в сатирическом журнале «Жупел» (известный рисунок «Вступление.,В тысяча девятьсот пятом по тысяча девятьсот седьмой годах работал карикатуристом в сатирическом журнале «Жупел» (известный рисунок «Вступление.
"Вследствие раскола Союза русских художников, явившегося реакцией на статью А. Н. Бенуа о выставке 1909—1910 годов, опубликованной в газете «Речь», Б. М. Кустодиев, в числе других петербургских мастеров, 7 октября 1910 года вышел из «Союза».","Вследствие раскола Союза русских художников, явившегося реакцией на статью А. Н. Бенуа о выставке с тысяча девятьсот девятого по тысяча девятьсот десятый годов, опубликованной в газете «Речь», Б. М. Кустодиев, в числе других петербургских мастеров, седьмого октября 1910 года вышел из «Союза»."
"В счастливом браке родились сын Кирилл (1903—1971), ставший художником, и дочь Ирина (1905—1981).","В счастливом браке родились сын Кирилл (тысяча девятьсот третий—тысяча девятьсот семьдесят первый), ставший художником, и дочь Ирина (тысяча девятьсот пятый—тысяча девятьсот восемьдесят первый)."
В 1905—1907 годах работал в сатирических журналах «Жупел» (известный рисунок «Вступление.,В тысяча девятьсот пятом по тысяча девятьсот седьмой годах работал в сатирических журналах «Жупел» (известный рисунок «Вступление.
"Он мог только сидеть в специальной коляске не более 2—3 часов в день, преодолевая страшную боль во всём теле.","Он мог только сидеть в специальной коляске не более двух—трёх часов в день, преодолевая страшную боль во всём теле."
"Князева В. П. Борис Михайлович Кустодиев: (1878—1927), каталог выставки / Государственный Русский музей;","Князева В. П. Борис Михайлович Кустодиев: (тысяча восемьсот семьдесят восьмой—тысяча девятьсот двадцать седьмой), каталог выставки / Государственный Русский музей;"
Мартынова А. Г. Выборг в жизни и творчестве русского художника Бориса Михайловича Кустодиева (1878—1927) // Вестник Томского государственного университета.,Мартынова А. Г. Выборг в жизни и творчестве русского художника Бориса Михайловича Кустодиева (тысяча восемьсот семьдесят восьмой—тысяча девятьсот двадцать седьмой) // Вестник Томского государственного университета.
При средней урожайности в колхозе 25-28 ц/га его бригада получала урожайность 40-42 ц/га зерновых.,При средней урожайности в колхозе от двадцати пяти до двадцати восьми ц/га его бригада получала урожайность от сорока до сорока двух ц/га зерновых.
"Принц Ролан Бонапарт был сыном принца Пьера Наполеона Бонапарта (1815—1881) и Элеонор Жюстин Рюфлен (1832—1905), и внуком принца Люсьена Бонапарта, брата императора Наполеон Бонапарта.","Принц Ролан Бонапарт был сыном принца Пьера Наполеона Бонапарта (тысяча восемьсот пятнадцатый—тысяча восемьсот восемьдесят первый) и Элеонор Жюстин Рюфлен (тысяча восемьсот тридцать второй—тысяча девятьсот пятый), и внуком принца Люсьена Бонапарта, брата императора Наполеон Бонапарта."
"В 1880 году он женился на Мари-Феликс Бланк (1859—1882), от которой у него была дочь принцесса Мари Бонапарт (1882—1962).","В восемнадцат80 году он женился на Мари-Феликс Бланк (тысяча восемьсот пятьдесят девятый—тысяча восемьсот восемьдесят второй), от которой у него была дочь принцесса Мари Бонапарт (тысяча восемьсот восемьдесят второй—тысяча девятьсот шестьдесят второй)."
Количество поступающей солнечной радиации составляет 91-92 ккал/см².,Количество поступающей солнечной радиации составляет от девяноста одного до девяноста двух ккал/см2.
"Член Военного Совета Главного командования Северо-Кавказского направления, Северо-Кавказского фронта, в 1942—1943 начальник Южного — Краснодарского Штаба партизанского движения.","Член Военного Совета Главного командования Северо-Кавказского направления, Северо-Кавказского фронта, в тысячи девятисот сорока двух до тысячи девятисот сорока трёх начальник Южного — Краснодарского Штаба партизанского движения."
"В 1998—2003 годах учился в средней школе № 138 имени Вильяма Сарояна, в 2003—2008 годах — в физико-математической специальной школе имени Арташеса Шагиняна при Ереванском государственном университете.","В тысяча девятьсот девяносто восьмом по две тысячи третий годах учился в средней школе No четырнадцати имени Вильяма Сарояна, в двух тысячи трёх до двух тысячи восьми годах — в физико-математической специальной школе имени Арташеса Шагиняна при Ереванском государственном университете."
"В 2008—2012 годах учился в бакалавриате на факультете компьютерных систем и информатики Государственного инженерного университета Армении (ГИУА, ныне Национальный политехнический университет Армении, НПУА) по специальности «Информатика и вычислительная техника», в 2012—2014 годах — в магистратуре там же, в обоих случаях получил диплом с отличием.","В две тысячи восьмом по две тысячи двенадцатый годах учился в бакалавриате на факультете компьютерных систем и информатики Государственного инженерного университета Армении (ГИУА, ныне Национальный политехнический университет Армении, НПУА) по специальности «Информатика и вычислительная техника», в двух тысячи двенадцати до двух тысячи четырнадцати годах — в магистратуре там же, в обоих случаях получил диплом с отличием."
"В 2009—2014 годах входил в совета факультета, в 2010—2014 годах — в учёный совет ГИУА, в 2011—2014 годах — в совет управления ГИУА.","В две тысячи девятом по две тысячи четырнадцатый годах входил в совета факультета, в две тысячи десятом по две тысячи четырнадцатый годах — в учёный совет ГИУА, в две тысячи одиннадцатом по две тысячи четырнадцатый годах — в совет управления ГИУА."
В 2012—2017 годах являлся председателем студенческого совета ГИУА/НПУА.,В две тысячи двенадцатом по две тысячи семнадцатый годах являлся председателем студенческого совета ГИУА/НПУА.
В 2015—2019 годах входил в попечительский совет фонда «Национальный центр обеспечения качества профессионального образования».,В две тысячи пятнадцатом по две тысячи девятнадцатый годах входил в попечительский совет фонда «Национальный центр обеспечения качества профессионального образования».
В 2014—2016 годах учился в магистратуре на факультете управления общественными финансами Академии государственного управления Армении по специальности «Управление».,В две тысячи четырнадцатом по две тысячи шестнадцатый годах учился в магистратуре на факультете управления общественными финансами Академии государственного управления Армении по специальности «Управление».
В 2015—2019 годах являлся заместителем ректора фонда НПУА.,В две тысячи пятнадцатом по две тысячи девятнадцатый годах являлся заместителем ректора фонда НПУА.
В 2016—2017 и 2018—2020 годах являлся научным сотрудником НПУА.,В две тысячи шестнадцатом по две тысячи семнадцатый и от двух тысячи восемнадцати до двух тысячи двадцати годах являлся научным сотрудником НПУА.
В 2020—2021 годах являлся проректором НПУА — руководителем аппарата и одновременно руководителем приёмного центра НПУА.,В две тысячи двадцатом по две тысячи двадцать первом годах являлся проректором НПУА — руководителем аппарата и одновременно руководителем приёмного центра НПУА.
"В 2017—2018 годах входил в Ереванский городской совет, избравшись по избирательному списку Республиканской партии Армении.","В две тысячи семнадцатом по две тысячи восемнадцатый годах входил в Ереванский городской совет, избравшись по избирательному списку Республиканской партии Армении."
"В 1940—1941 годах она, ещё будучи аспиранткой, собирала научный материал на острове Харлов в заповеднике «Семь островов».","В тысяча девятьсот сороковом по тысяча девятьсот сорок первый годах она, ещё будучи аспиранткой, собирала научный материал на острове Харлов в заповеднике «Семь островов»."
Мария Михайловна Белопольская (1917—2006) (ру) // Вестник Санкт-Петербургского университета (Сер.,Мария Михайловна Белопольская (тысяча девятьсот семнадцатый—две тысячи шестой) (ру) // Вестник Санкт-Петербургского университета (Сер.
"Джоан — дочь Кларенса Дугласа Диллона (1909—2003), американского дипломата и министра финансов США и Филисс Чесс Элсворс.","Джоан — дочь Кларенса Дугласа Диллона (тысяча девятьсот девятый—две тысячи третий), американского дипломата и министра финансов США и Филисс Чесс Элсворс."
Снежный покров держится в течение 160—170 дней.,Снежный покров держится в течение от ста шестидесяти до ста семидесяти дней.
"Как заметила М. И. Рубина, эта радиопостановка выбивалась из ряда подобных — обычно поэтические произведения ставятся на радио длительностью в 15-20 минут, а поэма прозвучала полностью, и хотя критик писала: «не стану утверждать, что авторам спектакля удалось идеально осуществить свой замысел», но дала высокую оценку радио воплощению поэмы:","Как заметила М. И. Рубина, эта радиопостановка выбивалась из ряда подобных — обычно поэтические произведения ставятся на радио длительностью в пятнадцати до двадцати минут, а поэма прозвучала полностью, и хотя критик писала: «не стану утверждать, что авторам спектакля удалось идеально осуществить свой замысел», но дала высокую оценку радио воплощению поэмы:"
В 1969—1973 годах — учащийся сельскохозяйственного техникума (станица Брюховецкая Краснодарского края).,В тысяча девятьсот шестьдесят девятом по тысяча девятьсот семьдесят третьем годах — учащийся сельскохозяйственного техникума (станица Брюховецкая Краснодарского края).
В течение последующих пяти лет (1984—1989 г.г.) — директор рисосовхоза «Новопетровский».,В течение последующих пяти лет (с тысяча девятьсот восемьдесят четвёртого по тысяча девятьсот восемьдесят девятый г.г.) — директор рисосовхоза «Новопетровский».
