q,a
"В «Tunnel Thru the Air» Ганн предсказывает 2 Мировую Войну, в частности атаку Японии на США.","В «Tunnel Thru the Air» Ганн предсказывает Вторую Мировую Войну, в частности атаку Японии на США."
"Он был 1 в США, кто владел частным, металлическим самолетом.","Он был первым в США, кто владел частным, металлическим самолетом."
В этом же году он разводится со 2 своей женой.,В этом же году он разводится со второй своей женой.
"Дети Ганна договорились похоронить его со 2 женой Sadie, в масонской секции кладбища «Greenwood» в Бруклине, на аллее выходящей на магистраль Манхеттена и его любимую Уолл-Стрит.","Дети Ганна договорились похоронить его со второй женой Sadie, в масонской секции кладбища «Greenwood» в Бруклине, на аллее выходящей на магистраль Манхеттена и его любимую Уолл-Стрит."
(Джон Ганн был пилотом во время 2 Мировой Войны.,(Джон Ганн был пилотом во время Второй Мировой Войны.
"Он очень резко отзывался о своем отце, особенно после того, как тот женился в 3 раз.","Он очень резко отзывался о своем отце, особенно после того, как тот женился в третий раз."
"Возобновление строительства 3 очереди Московского метрополитена весной, после отвода угрозы захвата Москвы в ходе Великой Отечественной войны.","Возобновление строительства третьей очереди Московского метрополитена весной, после отвода угрозы захвата Москвы в ходе Великой Отечественной войны."
"Шезму имел двоякий облик, с 1 стороны он представлял собою великое зло, но в противовес ему — и добро.","Шезму имел двоякий облик, с одной стороны он представлял собою великое зло, но в противовес ему — и добро."
1 из самых молодых провинций Аргентинской республики.,Одна из самых молодых провинций Аргентинской республики.
"В провинции всего 2 крупных реки: Рио-Колорадо («Красная Река») на границе с провинцией Рио-Негро, и Рио-Саладо («Соленая Река»), пересекающая провинцию.","В провинции всего две крупных реки: Рио-Колорадо («Красная Река») на границе с провинцией Рио-Негро, и Рио-Саладо («Соленая Река»), пересекающая провинцию."
После этого территория была поделена между офицерами и были основаны 1 поселения.  - писал швед Артур Лундквист.,После этого территория была поделена между офицерами и были основаны первые поселения.  - писал швед Артур Лундквист.
"Несмотря на сельский уклад жизни, население Ла-Пампы является 1 из самых образованных в Аргентине.","Несмотря на сельский уклад жизни, население Ла-Пампы является одним из самых образованных в Аргентине."
"В Ла-Пампе мало предприятий в сфере промышленности, строительства или добычи полезных ископаемых, поэтому 2 трети экономики провинции составляет сфера услуг.","В Ла-Пампе мало предприятий в сфере промышленности, строительства или добычи полезных ископаемых, поэтому две трети экономики провинции составляет сфера услуг."
"Туристы посещают Санта-Росу, Национальный Парк Лиуэ-Калель, Парке-Луро Провинсьяль Ресерве или останавливаются в 1 из множества эстансияс, часть из которых предназначены для агротуризма.","Туристы посещают Санта-Росу, Национальный Парк Лиуэ-Калель, Парке-Луро Провинсьяль Ресерве или останавливаются в одном из множества эстансияс, часть из которых предназначены для агротуризма."
Юссила погиб во время 2 мировой войны батальонным комиссаром.,Юссила погиб во время Второй мировой войны батальонным комиссаром.
Предложенный им вариант был принят на 4 дня и стал известен как Временный флаг республики.,Предложенный им вариант был принят на четыре дня и стал известен как Временный флаг республики.
"Боб 3 (Том Грин) – неудачник по жизни, его единственный настоящий друг – хомячок, с которым он с удовольствием общается и советуется.","Боб Три (Том Грин) – неудачник по жизни, его единственный настоящий друг – хомячок, с которым он с удовольствием общается и советуется."
"Он обучает Тесс основам шитья, и та под его руководством создает свою 1 коллекцию одежды.","Он обучает Тесс основам шитья, и та под его руководством создает свою первую коллекцию одежды."
"Победители каждого года указаны 1 в списке, выделены полужирным шрифтом на золотом фоне.","Победители каждого года указаны первыми в списке, выделены полужирным шрифтом на золотом фоне."
"У Ральфа были 2 старших брата, Джон и Томас, и сестра Берта.","У Ральфа были два старших брата, Джон и Томас, и сестра Берта."
"1 его женой стала актриса Люсиль Ли Стюарт, сестра известной киноактрисы Аниты Стюарт.","Первой его женой стала актриса Люсиль Ли Стюарт, сестра известной киноактрисы Аниты Стюарт."
2 женой Инса стала также актриса Люсиль Мендес.,Второй женой Инса стала также актриса Люсиль Мендес.
"От этого брака у пары был 1 ребенок, родившийся за несколько месяцев до гибели режиссера.","От этого брака у пары был один ребенок, родившийся за несколько месяцев до гибели режиссера."
"Известен по выступлениям за футбольный клуб «Спартак» Москва, участвовал в 9 чемпионских сезонах «Спартака» в России.","Известен по выступлениям за футбольный клуб «Спартак» Москва, участвовал в девяти чемпионских сезонах «Спартака» в России."
Обладатель 8 золотых медалей.,Обладатель восьми золотых медалей.
Имеет 4 высших образования.,Имеет четыре высших образования.
"Кроме этого я не считал это движение монархическим и вождей этой войны я не знал ни 1, кто бы из них был монархистом.","Кроме этого я не считал это движение монархическим и вождей этой войны я не знал ни одного, кто бы из них был монархистом."
"В 1 из интервью афорист признался, что собирается выдвинуть этот праздник на внесение в Конституцию РФ.","В одном из интервью афорист признался, что собирается выдвинуть этот праздник на внесение в Конституцию РФ."
"На собственные средства писателя были выпущены более 2 десятков номеров самиздатовских авторских сборников «Законы бытия, включая и небытие».","На собственные средства писателя были выпущены более двух десятков номеров самиздатовских авторских сборников «Законы бытия, включая и небытие»."
"Давидович является 1 из авторов журнала «Здравый смысл», выпускаемого под эгидой РГО — Российского гуманистического общества.","Давидович является одним из авторов журнала «Здравый смысл», выпускаемого под эгидой РГО — Российского гуманистического общества."
1 из главных ролей в фильме сыграл известный рок-музыкант Константин Ступин.,Одну из главных ролей в фильме сыграл известный рок-музыкант Константин Ступин.
"Телеканал «Мир» посвятил Давидовичу, как 1 из самых ярких современных жителей Воронежа, документальный фильм в цикле «Культурные столицы Содружества».","Телеканал «Мир» посвятил Давидовичу, как одному из самых ярких современных жителей Воронежа, документальный фильм в цикле «Культурные столицы Содружества»."
"1 из наиболее животрепещущих тем, волновавших Давидовича в последние годы жизни, стала «социальная идея», оформление которой он считал более актуальной  задачей, по сравнению с идеей национальной.","Одной из наиболее животрепещущих тем, волновавших Давидовича в последние годы жизни, стала «социальная идея», оформление которой он считал более актуальной  задачей, по сравнению с идеей национальной."
В километре от Кфар-Сабы возле Джальджулии найдены 1000 нижнепалеолитических каменных орудий.,В километре от Кфар-Сабы возле Джальджулии найдены тысячи нижнепалеолитических каменных орудий.
В пещерах Мислия и Хайоним ламинарные (пластинчатые) и леваллуазские методы изготовления орудий сосуществуют в рамках 1 технологии.,В пещерах Мислия и Хайоним ламинарные (пластинчатые) и леваллуазские методы изготовления орудий сосуществуют в рамках одной технологии.
"Приблизительно этим периодом датируется появление 1 известного истории города, окруженного стеной, — Иерихона.","Приблизительно этим периодом датируется появление первого известного истории города, окруженного стеной, — Иерихона."
Эти государственные образования правили в регионе с перерывами следующие 1000 лет.,Эти государственные образования правили в регионе с перерывами следующие тысячу лет.
Ко 2 половине V века относится постепенное уменьшение численности евреев в Эрец-Исраэль.,Ко второй половине V века относится постепенное уменьшение численности евреев в Эрец-Исраэль.
"Однако, контроль над Иерусалимом оставался в руках евреев лишь в течение 3 лет.","Однако, контроль над Иерусалимом оставался в руках евреев лишь в течение трех лет."
"В последующие 6 веков контроль над этой территорией переходил от Омейядов к Аббасидам, к крестоносцам и обратно.","В последующие шесть веков контроль над этой территорией переходил от Омейядов к Аббасидам, к крестоносцам и обратно."
Эпоха арабского владычества в Палестине делится на 4 периода:,Эпоха арабского владычества в Палестине делится на четыре периода:
"В течение XVI века большие еврейские общины пускали корни в Земле Израиля в 4 святых городах: Иерусалиме, Хевроне, Цфате и Тверии.","В течение XVI века большие еврейские общины пускали корни в Земле Израиля в четырех святых городах: Иерусалиме, Хевроне, Цфате и Тверии."
В начале XVIII века была предпринята 1 из самых значительных попыток алии из Европы и обновления еврейского религиозно-национального центра в Иерусалиме.,В начале XVIII века была предпринята одна из самых значительных попыток алии из Европы и обновления еврейского религиозно-национального центра в Иерусалиме.
"1 большая волна современной иммиграции, известная как 1 алия (ивр.","Первая большая волна современной иммиграции, известная как Первая алия (ивр."
"Уже в следующем году Герцль руководил 1 Всемирным сионистским конгрессом в Базеле, где была основана Всемирная сионистская организация (ВСО).","Уже в следующем году Герцль руководил первым Всемирным сионистским конгрессом в Базеле, где была основана Всемирная сионистская организация (ВСО)."
"Большинство иммигрантов 1 и 2 алии были ортодоксальными евреями, но 2 алия включала также и социалистов, основавших киббуцное движение.","Большинство иммигрантов первой и второй алии были ортодоксальными евреями, но вторая алия включала также и социалистов, основавших киббуцное движение."
"Страны мира отказывались принимать евреев, спасавшихся от Холокоста, что вместе с запретом Великобритании на переселение в Палестину фактически означало смерть для 1000000.","Страны мира отказывались принимать евреев, спасавшихся от Холокоста, что вместе с запретом Великобритании на переселение в Палестину фактически означало смерть для миллионов."
"Советский Союз, пытаясь укрепить свою позицию на Ближнем Востоке, стремился, в 1 очередь, подорвать позиции Великобритании.","Советский Союз, пытаясь укрепить свою позицию на Ближнем Востоке, стремился, в первую очередь, подорвать позиции Великобритании."
=== Независимость и 1 годы существования ===,=== Независимость и первые годы существования ===
"В 1 годы существования государства на политической арене Израиля доминировало движение социалистического сионизма (МАПАЙ), возглавляемое 1 премьер-министром Израиля, Давидом Бен-Гурионом.","В первые годы существования государства на политической арене Израиля доминировало движение социалистического сионизма (МАПАЙ), возглавляемое первым премьер-министром Израиля, Давидом Бен-Гурионом."
"Начало следующего десятилетия ознаменовалось захватом израильскими спецслужбами 1 из самых высокопоставленных нацистских преступников, Адольфа Эйхмана, скрывавшегося в Аргентине.","Начало следующего десятилетия ознаменовалось захватом израильскими спецслужбами одного из самых высокопоставленных нацистских преступников, Адольфа Эйхмана, скрывавшегося в Аргентине."
Эйхман являлся «архитектором» и претворителем в жизнь «окончательного решения еврейского вопроса» в период 2 мировой войны.,Эйхман являлся «архитектором» и претворителем в жизнь «окончательного решения еврейского вопроса» в период Второй мировой войны.
Это событие стало 1 признанием государства Израиль со стороны главы арабского государства.,Это событие стало первым признанием государства Израиль со стороны главы арабского государства.
1 интифада,Первая интифада
Всего за период «Большой Алии» в Израиль прибыло более 1000000 евреев из СССР и СНГ.,Всего за период «Большой Алии» в Израиль прибыло более миллиона евреев из СССР и СНГ.
История 2 народов.,История двух народов.
В 1 своем издании труд назывался «О некоторых русских церемониях».,В первом своем издании труд назывался «О некоторых русских церемониях».
"1 биографом его стал переводчик с русского Улоф Дидриксон Баркгузен (Olof Didriksson Barckhusen, d.","Первым биографом его стал переводчик с русского Улоф Дидриксон Баркгузен (Olof Didriksson Barckhusen, d."
История жизни Котошихина описывается также в исторической миниатюре Валентина Пикуля «История 1 скелета» (кон.,История жизни Котошихина описывается также в исторической миниатюре Валентина Пикуля «История одного скелета» (кон.
История 1 предательства и создания выдающейся книги о России.,История одного предательства и создания выдающейся книги о России.
Валентин Пикуль «История 1 скелета».,Валентин Пикуль «История одного скелета».
Приставкин А. И. «Король Монпасье Мармелажка 1»,Приставкин А. И. «Король Монпасье Мармелажка Первый»
В Российской империи считалась 1 из самых популярных актрис перед 1 мировой войной.,В Российской империи считалась одной из самых популярных актрис перед Первой мировой войной.
1 же фильм с ее участием «Бездна» обеспечил ей и режиссеру Петеру Урбану Гаду известность.,Первый же фильм с ее участием «Бездна» обеспечил ей и режиссеру Петеру Урбану Гаду известность.
"Отец Йенс Кристиан Нильсен часто болел, перебивался случайными заработками и не мог обеспечить 7, которая вынуждена была часто переезжать.","Отец Йенс Кристиан Нильсен часто болел, перебивался случайными заработками и не мог обеспечить семью, которая вынуждена была часто переезжать."
"Когда ей было 14 лет, отец умер и семья была вынуждена вернуться из Мальме в Копенгаген.","Когда ей было четырнадцать лет, отец умер и семья была вынуждена вернуться из Мальме в Копенгаген."
"Еще ребенком она познакомилась с миром театра, а начиная с 12 лет уже выступала в качестве оперной хористки.","Еще ребенком она познакомилась с миром театра, а начиная с двенадцати лет уже выступала в качестве оперной хористки."
1 же фильм с ее участием «Бездна» (дат.,Первый же фильм с ее участием «Бездна» (дат.
Ее огромный талант был 1 из главных причин всемирного успеха датского кино».,Ее огромный талант был одной из главных причин всемирного успеха датского кино».
"Он полагал, что персонаж одноименной драмы Уильяма Шекспира Гамлет является переодетой женщиной, скрывающей от посторонних свой пол. Нильсен была не 1 женщиной, сыгравшей роль в трагедии Шекспира.","Он полагал, что персонаж одноименной драмы Уильяма Шекспира Гамлет является переодетой женщиной, скрывающей от посторонних свой пол. Нильсен была не первой женщиной, сыгравшей роль в трагедии Шекспира."
"Таким образом С. Бернар стала 1 актрисой (и 1 актером вообще), которая сыграла Гамлета в кинематографе.","Таким образом С. Бернар стала первой актрисой (и первым актером вообще), которая сыграла Гамлета в кинематографе."
"Так, в 1 из эпизодов Ванина пытается освободить из заключения своего возлюбленного Октавио, ожидающего смертной казни.","Так, в одном из эпизодов Ванина пытается освободить из заключения своего возлюбленного Октавио, ожидающего смертной казни."
"Ее работа в «Безрадостном переулке» считается 1 из лучших в ее карьере, а ее партнерами по съемочной площадке стали Хмара и восходящая шведская кинозвезда — Грета Гарбо.","Ее работа в «Безрадостном переулке» считается одной из лучших в ее карьере, а ее партнерами по съемочной площадке стали Хмара и восходящая шведская кинозвезда — Грета Гарбо."
"После этого, несмотря на попытки вернуться в кино, она так и не сыграла ни в 1 фильме, что во многом объясняют тем, что в Дании ее подозревали в одобрении нацистского режима.","После этого, несмотря на попытки вернуться в кино, она так и не сыграла ни в одном фильме, что во многом объясняют тем, что в Дании ее подозревали в одобрении нацистского режима."
Аста Нильсен была признанной звездой немого кино и считалась 1 из 1 секс-символов.,Аста Нильсен была признанной звездой немого кино и считалась одним из первых секс-символов.
"Я обдумываю каждую деталь внешнего облика и поведения, обращая особое внимание на мелочи, незначительное, на 1 взгляд пустячки.","Я обдумываю каждую деталь внешнего облика и поведения, обращая особое внимание на мелочи, незначительное, на первый взгляд пустячки."
"По оценке Ежи Теплица, такой подход обеспечил ей полное право называться «1 из 1 трагических актрис кино».","По оценке Ежи Теплица, такой подход обеспечил ей полное право называться «одной из первых трагических актрис кино»."
"Лотта Эйснер назвала ее «легендарной скандинавкой», а советский искусствовед Василий Кисунько «1 киноактрисой», основателем «немецкой школы киноактеров».","Лотта Эйснер назвала ее «легендарной скандинавкой», а советский искусствовед Василий Кисунько «первой киноактрисой», основателем «немецкой школы киноактеров»."
Все ее фильмы были вариантами 1 судьбы.,Все ее фильмы были вариантами одной судьбы.
Он пробыл в Тироле 2 года.,Он пробыл в Тироле два года.
«Газпром космические системы» входит в 1 десятку публикуемого World Teleport Association рейтинга самых быстрорастущих спутниковых операторов в мире.,«Газпром космические системы» входит в первую десятку публикуемого World Teleport Association рейтинга самых быстрорастущих спутниковых операторов в мире.
1 муж — Павел Чухрай (род.,Первый муж — Павел Чухрай (род.
"Фильм состоит из пролога под названием «Жизнь», 3 фрагментов и эпилога.","Фильм состоит из пролога под названием «Жизнь», трех фрагментов и эпилога."
1 фрагмент под названием «Воображение» посвящен Дениз Римбо.,Первый фрагмент под названием «Воображение» посвящен Дениз Римбо.
3 фрагмент под названием «Торговля» описывает несколько дней из жизни Изабель.,Третий фрагмент под названием «Торговля» описывает несколько дней из жизни Изабель.
"Изабель специализируется на обслуживании клиентов с особыми запросами: 1 клиент разыгрывает сцену инцеста с участием воображаемой жены, 2 устраивает сложную оргию, напоминающую машину Голдберга.","Изабель специализируется на обслуживании клиентов с особыми запросами: первый клиент разыгрывает сцену инцеста с участием воображаемой жены, второй устраивает сложную оргию, напоминающую машину Голдберга."
"Он просит их проводить с ним больше времени, но во время расставания его сбивает машина, в которой ехала сестра Изабель с 1 из своих клиентов.","Он просит их проводить с ним больше времени, но во время расставания его сбивает машина, в которой ехала сестра Изабель с одним из своих клиентов."
Угольная шахта Лакаванны фигурирует в 3 сезоне телесериала «Человек в высоком замке»: по сюжету фильма в шахте располагается портал в параллельные миры.,Угольная шахта Лакаванны фигурирует в третьем сезоне телесериала «Человек в высоком замке»: по сюжету фильма в шахте располагается портал в параллельные миры.
"Фелбс; араб. بلبيس‎) — город в Египте, в юго-восточной части дельты Нила, 2 по величине город провинции Эш-Шаркия.","Фелбс; араб. بلبيس‎) — город в Египте, в юго-восточной части дельты Нила, второй по величине город провинции Эш-Шаркия."
"1 из 1 городов, захваченных арабским войском при Арабском завоевании Египта.","Один из первых городов, захваченных арабским войском при Арабском завоевании Египта."
"По некоторым данным, в Бильбейсе была построена 1 мечеть на Африканском континенте - мечеть Садат Курейш.","По некоторым данным, в Бильбейсе была построена первая мечеть на Африканском континенте - мечеть Садат Курейш."
При решении поставленных задач Фильчагин лично пленил 2 человек противника.,При решении поставленных задач Фильчагин лично пленил двух человек противника.
На клубном чемпионате Европы стал 2.,На клубном чемпионате Европы стал вторым.
"1 из них выделяют газы, другие превращают сахар в молочную кислоту без выделения газов; некоторые бактерии вырабатывают ароматические вещества — сложные эфиры.","Одни из них выделяют газы, другие превращают сахар в молочную кислоту без выделения газов; некоторые бактерии вырабатывают ароматические вещества — сложные эфиры."
Вместе с оригинальным решением фасадов он позволяет видеть в Лисинском дворце 1 стилистические признаки будущего «северного модерна».,Вместе с оригинальным решением фасадов он позволяет видеть в Лисинском дворце первые стилистические признаки будущего «северного модерна».
Благодаря содержанию в составе мезотерапевтических коктейлей витаминов и микроэлементов достигается выраженный синергетический эффект применения 2 разных методов.,Благодаря содержанию в составе мезотерапевтических коктейлей витаминов и микроэлементов достигается выраженный синергетический эффект применения двух разных методов.
"Являясь 1 из богатейших людей страны, организовал при своем дворе в Неметуйваре прибежище для интеллектуалов со всей Европы, спасавшихся от религиозных потрясений эпохи Реформации.","Являясь одним из богатейших людей страны, организовал при своем дворе в Неметуйваре прибежище для интеллектуалов со всей Европы, спасавшихся от религиозных потрясений эпохи Реформации."
"Благодаря своим связям среди гуманистов он собрал обширную библиотеку, считавшую 5 по размеру в Венгрии.","Благодаря своим связям среди гуманистов он собрал обширную библиотеку, считавшую пятой по размеру в Венгрии."
Семья Баттьяни в это время являлась 1 из могущественнейших в Венгрии.,Семья Баттьяни в это время являлась одной из могущественнейших в Венгрии.
"Вероятно, Балтазар был не 1 ребенком в семье, однако о старших детях Кристофа Баттьяни ничего не известно.","Вероятно, Балтазар был не первым ребенком в семье, однако о старших детях Кристофа Баттьяни ничего не известно."
"Там же обучались 3 дочери магната Николая Зринского, на 1 из которых впоследствии женился Балтазар.","Там же обучались три дочери магната Николая Зринского, на одной из которых впоследствии женился Балтазар."
"C 1 из них юный Баттьяни путешествовал по Восточной Венгрии, в Загреб, Виницу и Вену.","C первым из них юный Баттьяни путешествовал по Восточной Венгрии, в Загреб, Виницу и Вену."
"2 следующих года Балтазар провел в Париже, переживавшим перед Варфоломеевской ночью расцвет интеллектуальной жизни, изучая французский язык и совершенствуя свои манеры.","Два следующих года Балтазар провел в Париже, переживавшим перед Варфоломеевской ночью расцвет интеллектуальной жизни, изучая французский язык и совершенствуя свои манеры."
