q,a
"Такая акустическая система имеет уменьшенный вес: 2,3 кг.",Такая акустическая система имеет уменьшенный вес: две целых три десятых кг.
"Занимает площадь 1,84 км².",Занимает площадь одна целая восемьдесят четыре сотых км².
"Занимает площадь 0,057 км².",Занимает площадь ноль целых пятьдесят семь тысячных км².
"Размеры — 181,9 × 98,1 см.",Размеры — сто восемьдесят одна целая девять десятых × девяносто восемь целых одна десятая см.
"Занимает площадь 2,9 км².",Занимает площадь две целых девять десятых км².
"По заказу ВОС в нём предусмотрена скорость ленты 2,38 см/с для прослушивания «говорящих книг».",По заказу ВОС в нём предусмотрена скорость ленты две целых тридцать восемь сотых см/с для прослушивания «говорящих книг».
"Среднегодовая температура воздуха — 3,2 °C.",Среднегодовая температура воздуха — три целых две десятых °C.
"Занимает площадь 2,363 км².",Занимает площадь две целых триста шестьдесят три тысячных км².
Стабильность частоты: +/- 2.5 ppm,Стабильность частоты: +/- два с половиной ppm
"Вес: 1,18 кг (с батареей и GPS)",Вес: одна целая восемнадцать сотых кг (с батареей и GPS)
"Плоды, которые при созревании почти сухие, покрыты белыми волосками диаметром до 0,4 см, содержат очень мелкие блестящие чёрные семена.","Плоды, которые при созревании почти сухие, покрыты белыми волосками диаметром до ноля целых четырёх десятых см, содержат очень мелкие блестящие чёрные семена."
"Занимает площадь 1,36 км².",Занимает площадь одна целая тридцать шесть сотых км².
"Занимает площадь 52,85 км².",Занимает площадь пятьдесят две целых восемьдесят пять сотых км².
"Белохвостый лавровый голубь, являющийся, по-видимому, базальным видом, отделился и переселился на Канарские острова во время миоцена, примерно 25,3—16,8 млн лет назад; изначально он заселял остров Фуэртевентура, первый из появившихся Канарских островов, и переселялся на другие острова по мере их появления.","Белохвостый лавровый голубь, являющийся, по-видимому, базальным видом, отделился и переселился на Канарские острова во время миоцена, примерно двадцать пять целых три десятых—шестнадцать целых восемь десятых млн лет назад; изначально он заселял остров Фуэртевентура, первый из появившихся Канарских островов, и переселялся на другие острова по мере их появления."
Объем её крымских сборов составляет 10.800 листов.,Объем её крымских сборов составляет десять целых восемьсот тысячных листов.
"В США было продано более 2,1",В США было продано более двух целых одной десятой
"Плод — коробочка почти шаровидной формы, около 1,8 мм в диаметре, с пятью продольными бороздами, раскрывающаяся пятью створками, малинового цвета.","Плод — коробочка почти шаровидной формы, около одной целой восьми десятых мм в диаметре, с пятью продольными бороздами, раскрывающаяся пятью створками, малинового цвета."
"Семена продолговато-эллиптические, часто изогнутые, коричневые, блестящие, с сетчатой поверхностью, менее 0,5 мм длиной.","Семена продолговато-эллиптические, часто изогнутые, коричневые, блестящие, с сетчатой поверхностью, менее ноля целых пяти десятых мм длиной."
"Следует отметить, что в состав неископаемых источников энергии включены: гидроэлектростанции — 6,3 %, ядерное — 8,5 %, и другие (геотермальная, солнечная, приливная, энергия ветра, сжигания древесины и отходов) в размере 0,9 %.[обновить данные]","Следует отметить, что в состав неископаемых источников энергии включены: гидроэлектростанции — шесть целых три десятых %, ядерное — восемь с половиной %, и другие (геотермальная, солнечная, приливная, энергия ветра, сжигания древесины и отходов) в размере ноль целых девять десятых %.[обновить данные]"
"Несмотря на то, что сланцевый газ содержится в небольших количествах (0,2—3,2 миллиарда м³/км²), тем не менее, за счёт вскрытия больших площадей можно получать значительное количество такого газа.","Несмотря на то, что сланцевый газ содержится в небольших количествах (ноль целых две десятых—три целых две десятых миллиарда м³/км²), тем не менее, за счёт вскрытия больших площадей можно получать значительное количество такого газа."
"Среднегодовая скорость ветра 3,5—4,2 метра в секунду.",Среднегодовая скорость ветра три с половиной—четыре целых две десятых метра в секунду.
"Цветоножка 0,4—1,8 см, плотно чешуйчатая.","Цветоножка ноль целых четыре десятых—одна целая восемь десятых см, плотно чешуйчатая."
"Венчик широко воронковидно-колокольчатый, бледный или глубоко пурпурно-красного цвета, внутри с или без коричневатых красных пятен, 1,5—3,2 см.","Венчик широко воронковидно-колокольчатый, бледный или глубоко пурпурно-красного цвета, внутри с или без коричневатых красных пятен, один с половиной—три целых две десятых см."
"Тычинки не равной длины, у основания опушённые.","Тычинки не равной длины, у основания опушённые."
Bluetooth 2.1 + EDR,Bluetooth 2.1 + EDR
microUSB 2.0,microUSB две целых ноль десятых
"Время работы в режиме разговора: до 7,5 часов",Время работы в режиме разговора: до семи целых пяти десятых часов
"Площадь города составляет 49,9 км², из них 0,6 км² приходится на воду.","Площадь города составляет сорок девять целых девять десятых км², из них ноль целых шесть десятых км² приходится на воду."
"Национальный состав города представлен белыми американцами (74,4 %), азиатами (5,6 %), афроамериканцами (1,5 %), коренными американцами (0,5 %), гавайцами (0,1 %), и другими народностями (13,9 %).","Национальный состав города представлен белыми американцами (семьдесят четыре целых четыре десятых %), азиатами (пять целых шесть десятых %), афроамериканцами (один с половиной %), коренными американцами (ноль с половиной %), гавайцами (ноль целых одна десятая %), и другими народностями (тринадцать целых девять десятых %)."
"Испанское или латинское происхождение имеют 27,8 % жителей.",Испанское или латинское происхождение имеют двадцать семь целых восемь десятых % жителей.
"В среднем в одном доме живут 3,49 людей, а средний размер семьи составляет 3,71 человека.","В среднем в одном доме живут три целых сорок девять сотых людей, а средний размер семьи составляет три целых семьдесят одна сотая человека."
"В суде он выигрывает первые три дела, получив компенсации на 1,6 млн, 5,6 млн и 12,5 млн долларов соответственно.","В суде он выигрывает первые три дела, получив компенсации на одну целую шесть десятых млн, пять целых шесть десятых млн и двенадцать с половиной млн долларов соответственно."
"Для размещения дирекции Студенческого театра и репетиционных классов выделили четыре комнаты в секторе «А» Главного здания МГУ общей площадью 127,4 м².",Для размещения дирекции Студенческого театра и репетиционных классов выделили четыре комнаты в секторе «А» Главного здания МГУ общей площадью сто двадцать семь целых четыре десятых м².
"Для театральных постановок и репетиций в вечернее время Студенческому театру был предоставлен спортивный зал на Моховой улице общей площадью 215,6 м².",Для театральных постановок и репетиций в вечернее время Студенческому театру был предоставлен спортивный зал на Моховой улице общей площадью двести пятнадцать целых шесть десятых м².
"Это животное до 2,1 м длиной, от светло до голубовато серого цвета на спине и по бокам, брюхо светло-серое.","Это животное до двух целых одной десятой м длиной, от светло до голубовато серого цвета на спине и по бокам, брюхо светло-серое."
"Россиянка, выступавшая в нейтральном статусе, совершила четыре удачных прыжка, остановившись на отметке 4,85 м.","Россиянка, выступавшая в нейтральном статусе, совершила четыре удачных прыжка, остановившись на отметке четыре целых восемьдесят пять сотых м."
"Три попытки побить личный рекорд (и рекорд соревнований) на высоте 4,92 м оказались неудачными.",Три попытки побить личный рекорд (и рекорд соревнований) на высоте четыре целых девяносто две сотых м оказались неудачными.
"Лучшей среди остальных спортсменок оказалась Николета Кириакопулу, завоевавшая бронзу с результатом 4,65 м.","Лучшей среди остальных спортсменок оказалась Николета Кириакопулу, завоевавшая бронзу с результатом четыре целых шестьдесят пять сотых м."
"Размах крыла: 125,51 м;",Размах крыла: сто двадцать пять целых пятьдесят одна сотая м;
"длина: 115,5 м;",длина: сто пятнадцать с половиной м;
"высота: 29,12 м;",высота: двадцать девять целых двенадцать сотых м;
— 6.17,— шесть целых семнадцать сотых
«Dŵr Budr» — 9.55,«Dŵr Budr» — девять целых пятьдесят пять сотых
«Adnan’s» — 8.41,«Adnan’s» — восемь целых сорок одна сотая
"Для сравнения, на западном побережье, где фильм пошёл в эфир *после* окончания трансляции матча, мы не только достигли ожидаемых телесетью рейтингов, но и превысили их ожидания, взяв 3,2 или 3,6 процентов аудитории в разных целевых группах, что просто неслыханно для кабельной телесети.","Для сравнения, на западном побережье, где фильм пошёл в эфир *после* окончания трансляции матча, мы не только достигли ожидаемых телесетью рейтингов, но и превысили их ожидания, взяв три целых две десятых или три целых шесть десятых процентов аудитории в разных целевых группах, что просто неслыханно для кабельной телесети."
"Проблема в том, что именно 1,7 — то самое среднее арифметическое от рейтингов по стране — используется для рекламы фильма на рынке.","Проблема в том, что именно одна целая семь десятых — то самое среднее арифметическое от рейтингов по стране — используется для рекламы фильма на рынке."
"Это самая длинная улица в Бабушкинском районе — около 4,5 км.",Это самая длинная улица в Бабушкинском районе — около четырёх целых пяти десятых км.
"Контракт был рассчитан на 2,5 года, но через год был расторгнут, так как «Томь» оказалась не в состоянии выполнять взятые на себя контрактные обязательства.","Контракт был рассчитан на два с половиной года, но через год был расторгнут, так как «Томь» оказалась не в состоянии выполнять взятые на себя контрактные обязательства."
"Занимает площадь 1,143 км².",Занимает площадь одна целая сто сорок три тысячных км².
"102,0 Север FM",сто две целых ноль десятых Север FM
"Площадь поверхности — 2590,0 км².",Площадь поверхности — две тысяча пятьсот девяносто целых ноль десятых км².
"Плотность населения — 247,95 чел./км².",Плотность населения — двести сорок семь целых девяносто пять сотых чел./км².
"Средний уклон водной поверхности 2,3 ‰.",Средний уклон водной поверхности две целых три десятых ‰.
"Среднегодовая температура воздуха — 3,6 °C.",Среднегодовая температура воздуха — три целых шесть десятых °C.
"Среднегодовая многолетняя температура воздуха составляет 5,5 °С.",Среднегодовая многолетняя температура воздуха составляет пять с половиной °С.
"В сезоне средняя реализация выходов на биту у Мэйса составила 26,2 % и он показал отличную игру в защите и в беге по базам.",В сезоне средняя реализация выходов на биту у Мэйса составила двадцать шесть целых две десятых % и он показал отличную игру в защите и в беге по базам.
"Устье реки находится в 8,2 км от устья Мени.",Устье реки находится в восемь целых две десятых км от устья Мени.
"Обычно масса горелок Бунзена не превышает 0,5 кг.",Обычно масса горелок Бунзена не превышает ноль с половиной кг.
"Ширина плеча 8,5 мм.",Ширина плеча восемь с половиной мм.
"В галактике вспыхнула сверхновая SN 2000B типа Ia, её пиковая видимая звездная величина составила 16,5.","В галактике вспыхнула сверхновая SN 2000B типа Ia, её пиковая видимая звездная величина составила шестнадцать с половиной."
"Процент игравших в НХЛ от общего числа игроков: 44,1;",Процент игравших в НХЛ от общего числа игроков: сорок четыре целых одна десятая;
"Занимает площадь 8,94 км².",Занимает площадь восемь целых девяносто четыре сотых км².
"Каждая луковица завершалась шпилем в 2,5 м.",Каждая луковица завершалась шпилем в два с половиной м.
"В предварительном забеге занял третье место с результатом 11,16 сек и не попал в финальный забег.",В предварительном забеге занял третье место с результатом одиннадцать целых шестнадцать сотых сек и не попал в финальный забег.
"Площадь — 0,8 км².",Площадь — ноль целых восемь десятых км².
"Площадь водосборного бассейна — 2,0 км².",Площадь водосборного бассейна — две целых ноль десятых км².
"Длина — 1,7 км.",Длина — одна целая семь десятых км.
"— 0,5 км.",— ноль с половиной км.
"Глубина средняя — 0,1 м, наибольшая — 0,25 м.","Глубина средняя — ноль целых одна десятая м, наибольшая — ноль целых двадцать пять сотых м."
"Высота над уровнем моря: −3,2 м.",Высота над уровнем моря: минус три целых две десятых м.
"Среднегодовая температура воздуха — 4,5 °C.",Среднегодовая температура воздуха — четыре с половиной °C.
"Её кислотность выше, чем кислотность слюны других больших слюнных желёз и, при небольшой скорости секреции, равна 5,81 pH.","Её кислотность выше, чем кислотность слюны других больших слюнных желёз и, при небольшой скорости секреции, равна пяти целым восьмидесяти одной сотой pH."
"В сутки околоушные железы выделяют примерно 0,2 — 0,7 л слюны (около трети объёма, секретируемого всеми слюнными железами).","В сутки околоушные железы выделяют примерно ноль целых две десятых — ноль целых семь десятых л слюны (около трети объёма, секретируемого всеми слюнными железами)."
"Занимает площадь 137,337 км².",Занимает площадь сто тридцать семь целых триста тридцать семь тысячных км².
"Плотность населения — 151,0 чел./км².",Плотность населения — сто пятьдесят одна целая ноль десятых чел./км².
"Занимает площадь 12,76 км².",Занимает площадь двенадцать целых семьдесят шесть сотых км².
"Занимает площадь 2,00 км².",Занимает площадь две целых ноль сотых км².
"УрбанизацияГородское население (город Мураши) составляет  60,59 % от всего населения района (округа).",УрбанизацияГородское население (город Мураши) составляет  шестьдесят целых пятьдесят девять сотых % от всего населения района (округа).
"В документальном архиве есть более 95,5 миллионов страниц.",В документальном архиве есть более девяноста пяти целых пяти десятых миллионов страниц.
"Но несмотря на отсутствие поддержки со стороны собственной партии Коикэ провела успешную предвыборную кампанию и набрала по итогам голосования 44,49% голосов избирателей, заняв первое место.","Но несмотря на отсутствие поддержки со стороны собственной партии Коикэ провела успешную предвыборную кампанию и набрала по итогам голосования сорок четыре целых сорок девять сотых% голосов избирателей, заняв первое место."
"Кандидат от ЛДП Масуда набрал только 27,40% голосов.",Кандидат от ЛДП Масуда набрал только двадцать семь целых сорок сотых% голосов.
"Занимает площадь 47,96 км².",Занимает площадь сорок семь целых девяносто шесть сотых км².
"Среднегодовая температура воздуха — 3,1 °C.",Среднегодовая температура воздуха — три целых одна десятая °C.
"Молярная масса 248,17 г/моль (пентагидрат).",Молярная масса двести сорок восемь целых семнадцать сотых г/моль (пентагидрат).
"как среда для определения молекулярных весов по понижению точки замерзания (криоскопическая константа 4,26°);",как среда для определения молекулярных весов по понижению точки замерзания (криоскопическая константа четыре целых двадцать шесть сотых°);
"Кислотность изменяется от 3,56 до 6,48.",Кислотность изменяется от трёх целых пятидесяти шести сотых до шести целых сорока восьми сотых.
"Занимает площадь 1,35 км².",Занимает площадь одна целая тридцать пять сотых км².
"Орбитальный период — около ноля целых трёх тысячи шестидесяти одной десятитысячной суток (7,3455 часа).",Орбитальный период — около ноля целых трёх тысячи шестидесяти одной десятитысячной суток (семь целых три тысяча четыреста пятьдесят пять десятитысячных часа).
=== AnvilNext 2.0 ===,=== AnvilNext две целых ноль десятых ===
"Занимает площадь 6,62 км².",Занимает площадь шесть целых шестьдесят две сотых км².
"Размер медресе составляет 22,15 метра в высоту и 19,61 метра в ширину.",Размер медресе составляет двадцать две целых пятнадцать сотых метра в высоту и девятнадцать целых шестьдесят одна сотая метра в ширину.
"Занимает площадь 2,238 км².",Занимает площадь две целых двести тридцать восемь тысячных км².
"Плотность населения 330,1 человек на км².",Плотность населения триста тридцать целых одна десятая человек на км².
"Расовый состав населения: белые — 76,28 %, афроамериканцы — 22,13 %, коренные американцы (индейцы) — 0,38 %, азиаты — 0,05 %, гавайцы — 0,11, представители других рас — 0,77 %, представители двух или более рас — 0,27 %.","Расовый состав населения: белые — семьдесят шесть целых двадцать восемь сотых %, афроамериканцы — двадцать две целых тринадцать сотых %, коренные американцы (индейцы) — ноль целых тридцать восемь сотых %, азиаты — ноль целых пять сотых %, гавайцы — ноль целых одиннадцать сотых, представители других рас — ноль целых семьдесят семь сотых %, представители двух или более рас — ноль целых двадцать семь сотых %."
"Испаноязычные составляли 2,03 % населения.",Испаноязычные составляли две целых три сотых % населения.
"Занимает площадь 5,83 км².",Занимает площадь пять целых восемьдесят три сотых км².
"выше по течению на расстоянии в 0,5 км расположен город Копычинцы,","выше по течению на расстоянии в ноле с половиной км расположен город Копычинцы,"
"Через село проходит железная дорога, станция Копычинцы в 1,5 км.","Через село проходит железная дорога, станция Копычинцы в одном с половиной км."
"Занимает площадь 11,44 км².",Занимает площадь одиннадцать целых сорок четыре сотых км².
"Занимает площадь 231,285 км².",Занимает площадь двести тридцать одна целая двести восемьдесят пять тысячных км².
"Плотность населения — 20,0 чел./км².",Плотность населения — двадцать целых ноль десятых чел./км².
Лицензия: Namensnennung 3.0 Österreich (CC BY 3.0 AT) (нем.),Лицензия: Namensnennung три целых ноль десятых Österreich (CC BY три целых ноль десятых AT) (нем.)
"Белые — 85,50 % (британцы — 81,93 %, ирландцы — 0,71 %, другие белые — 2,86 %)","Белые — восемьдесят пять целых пятьдесят сотых % (британцы — восемьдесят одна целая девяносто три сотых %, ирландцы — ноль целых семьдесят одна сотая %, другие белые — две целых восемьдесят шесть сотых %)"
"Выходцы из Азии — 10,60 % (пакистанцы — 2,27 %, китайцы — 2,15 %, индийцы — 1,81 %, бенгальцы — 1,67 %, арабы — 0,93 %, другие азиаты — 1,76 %)","Выходцы из Азии — десять целых шестьдесят сотых % (пакистанцы — две целых двадцать семь сотых %, китайцы — две целых пятнадцать сотых %, индийцы — одна целая восемьдесят одна сотая %, бенгальцы — одна целая шестьдесят семь сотых %, арабы — ноль целых девяносто три сотых %, другие азиаты — одна целая семьдесят шесть сотых %)"
"Чёрные — 1,84 % (афробританцы — 1,66 %, чёрные карибцы — 0,08 %, другие чёрные — 0,10 %)","Чёрные — одна целая восемьдесят четыре сотых % (афробританцы — одна целая шестьдесят шесть сотых %, чёрные карибцы — ноль целых восемь сотых %, другие чёрные — ноль целых десять сотых %)"
"Метисы — 1,53 % (белые и азиаты — 0,57 %, белые и чёрные — 0,31 %, белые и чёрные карибцы — 0,30 %, другие метисы — 0,35 %)","Метисы — одна целая пятьдесят три сотых % (белые и азиаты — ноль целых пятьдесят семь сотых %, белые и чёрные — ноль целых тридцать одна сотая %, белые и чёрные карибцы — ноль целых тридцать сотых %, другие метисы — ноль целых тридцать пять сотых %)"
"Ширина: 24,4 м",Ширина: двадцать четыре целых четыре десятых м
"Среднегодовая температура воздуха положительная и составляет + 10,2 °C, средняя температура самого жаркого месяца июля + 24,7 °С, самого холодного месяца января — 4,4 °С.","Среднегодовая температура воздуха положительная и составляет + десять целых две десятых °C, средняя температура самого жаркого месяца июля + двадцать четыре целых семь десятых °С, самого холодного месяца января — четыре целых четыре десятых °С."
"В выпускной год отбивал с показателем 43,5 % и вошёл в состав сборной звёзд NCAA.",В выпускной год отбивал с показателем сорок три с половиной % и вошёл в состав сборной звёзд NCAA.
"Helvetica Neue, которая использовалась в тех же целях в OS X 10.10, была специально доработана.","Helvetica Neue, которая использовалась в тех же целях в OS X десять целых десять сотых, была специально доработана."
"УрбанизацияГородское население (рабочие посёлки Кадуй и Хохлово) составляет  81,56 % населения района.",УрбанизацияГородское население (рабочие посёлки Кадуй и Хохлово) составляет  восемьдесят одну целую пятьдесят шесть сотых % населения района.
"Занимает площадь 3,293 км².",Занимает площадь три целых двести девяносто три тысячных км².
"В то время как Назаров был в больнице, полицейские составили рапорт о совершении им мелкого хулиганства (ст. 20.1 КОАП), — в нём было отмечено, что при задержании Назаров был пьян, оскорблял прохожих и не реагировал на замечания.","В то время как Назаров был в больнице, полицейские составили рапорт о совершении им мелкого хулиганства (ст. двадцать целых одна десятая КОАП), — в нём было отмечено, что при задержании Назаров был пьян, оскорблял прохожих и не реагировал на замечания."
"Вместе с тем он добивается впечатляющего прогресса; в своей книге «Новая энциклопедия современного бодибилдинга» Арнольд пишет, что его руки тогда увеличивались на полдюйма (1,27 см) за два месяца тренировок, а общая мышечная масса — на двадцать фунтов (9,071 кг) за год.","Вместе с тем он добивается впечатляющего прогресса; в своей книге «Новая энциклопедия современного бодибилдинга» Арнольд пишет, что его руки тогда увеличивались на полдюйма (одна целая двадцать семь сотых см) за два месяца тренировок, а общая мышечная масса — на двадцать фунтов (девять целых семьдесят одна тысячная кг) за год."
"Согласно ряду сообщений, Шварценеггер смог купить у правительства Австрии за 1,4 млн долл танк М47, механиком-водителем которого он был в австрийской армии.","Согласно ряду сообщений, Шварценеггер смог купить у правительства Австрии за одну целую четыре десятых млн долл танк М47, механиком-водителем которого он был в австрийской армии."
"По данным Бюро переписи населения США площадь тауншипа составляет 94,0 км², из которых 94,0 км² занимает суша, водоёмов нет.","По данным Бюро переписи населения США площадь тауншипа составляет девяносто четыре целых ноль десятых км², из которых девяносто четыре целых ноль десятых км² занимает суша, водоёмов нет."
"Плотность населения — 2,6 чел./км².",Плотность населения — две целых шесть десятых чел./км².
"Расовый состав населения: 96,39 % белых, 0,40 % афроамериканцев, 0,80 % азиатов, 1,20 % — других рас США и 1,20 % приходится на две или более других рас.","Расовый состав населения: девяносто шесть целых тридцать девять сотых % белых, ноль целых сорок сотых % афроамериканцев, ноль целых восемьдесят сотых % азиатов, одна целая двадцать сотых % — других рас США и одна целая двадцать сотых % приходится на две или более других рас."
